indexDados;codigNomeMateria;codigoTurma;ano;semestre;professor;cargahoraria;horario;vagasOfertadas;vagasOcupadas;local;horarioSeparado;percDisciplina;salaSeparada;predio;lotacao;percOcupacaoReal;percOcupacaoTotal
244;FGA0186 - ELETRICIDADE APLICADA;2;2022;2;FLAVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA;60h;6M12 24T45;2;0;FGA - SALA S8 E LAB ELET;;;S8;;;;
245;FGA0186 - ELETRICIDADE APLICADA;2;2022;2;FLAVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA;60h;6M12 24T45;2;0;FGA - SALA S8 E LAB ELET;;;Lab.Eletr.;;;;
246;FGA0186 - ELETRICIDADE APLICADA;2;2022;2;RUDI HENRI VAN ELS;30h;6M12 24T45;2;0;FGA - SALA S8 E LAB ELET;;;S8;;;;
247;FGA0186 - ELETRICIDADE APLICADA;2;2022;2;RUDI HENRI VAN ELS;30h;6M12 24T45;2;0;FGA - SALA S8 E LAB ELET;;;Lab.Eletr.;;;;
248;FGA0188 - MÉTODOS EXPERIMENTAIS PARA ENGENHARIA;1;2022;2;RODRIGO ARBEY MUNOZ MENESES;60h;35T45;15;14;FGA - SALA S6 E LAB MAT;;;S6;;;;
249;FGA0188 - MÉTODOS EXPERIMENTAIS PARA ENGENHARIA;1;2022;2;RODRIGO ARBEY MUNOZ MENESES;60h;35T45;15;14;FGA - SALA S6 E LAB MAT;;;Lab.Mater.;;;;
250;FGA0188 - MÉTODOS EXPERIMENTAIS PARA ENGENHARIA;2;2022;2;RODRIGO ARBEY MUNOZ MENESES;60h;3T45 56T4;15;2;FGA - SALA S6 E LAB MAT;;;S6;;;;
251;FGA0188 - MÉTODOS EXPERIMENTAIS PARA ENGENHARIA;2;2022;2;RODRIGO ARBEY MUNOZ MENESES;60h;3T45 56T4;15;2;FGA - SALA S6 E LAB MAT;;;Lab.Mater.;;;;
252;FGA0188 - MÉTODOS EXPERIMENTAIS PARA ENGENHARIA;3;2022;2;RODRIGO ARBEY MUNOZ MENESES;60h;3T45 5T4 6T5;15;0;FGA - SALA S6 E LAB MAT;;;S6;;;;
253;FGA0188 - MÉTODOS EXPERIMENTAIS PARA ENGENHARIA;3;2022;2;RODRIGO ARBEY MUNOZ MENESES;60h;3T45 5T4 6T5;15;0;FGA - SALA S6 E LAB MAT;;;Lab.Mater.;;;;
254;FGA0190 - PROJETO DE ELEMENTOS AUTOMOTIVOS;1;2022;2;ALESSANDRO BORGES DE SOUSA OLIVEIRA;90h;246M34;45;5;FGA - SALA I4;;;I4;;;;
255;FGA0191 - MATERIAIS COMPOSTOS E PLÁSTICOS;1;2022;2;SANDRA MARIA DA LUZ;30h;35T23;45;10;FGA - SALA I4;;;I4;;;;
256;FGA0191 - MATERIAIS COMPOSTOS E PLÁSTICOS;1;2022;2;EMMANUEL PACHECO ROCHA LIMA;30h;35T23;45;10;FGA - SALA I4;;;I4;;;;
257;FGA0194 - ARQUITETURA DE MOTORES DE COMBUSTÃO INTERNA;1;2022;2;FABIO CORDEIRO DE LISBOA;60h;46T23;25;9;FGA - LDTEA SALA 3;;;LD.Sala-3;;;;
258;FGA0195 - GESTÃO DA PRODUÇÃO AUTOMOTIVA;1;2022;2;MARIO DE OLIVEIRA ANDRADE;60h;35T6 35N1;45;34;FGA - SALA I1;;;I1;;;;
259;FGA0201 - PROJETO DE CIRCUITOS INTEGRADOS DIGITAIS;1;2022;2;GILMAR SILVA BESERRA;60h;35M12;45;13;FGA - SALA LAB SS;;;Lab.SS;;;;
260;FGA0204 - DINÂMICA DOS FLUÍDOS;1;2022;2;AUGUSTO CESAR DE MENDONCA BRASIL;15h;26M34 4M3;25;23;FGA - SALA S8 /LAB TERMOFLUIDOS / SALA I3;;;S8;;;;
261;FGA0204 - DINÂMICA DOS FLUÍDOS;1;2022;2;AUGUSTO CESAR DE MENDONCA BRASIL;15h;26M34 4M3;25;23;FGA - SALA S8 /LAB TERMOFLUIDOS / SALA I3;;;Lab.Termoflui.;;;;
262;FGA0204 - DINÂMICA DOS FLUÍDOS;1;2022;2;AUGUSTO CESAR DE MENDONCA BRASIL;15h;26M34 4M3;25;23;FGA - SALA S8 /LAB TERMOFLUIDOS / SALA I3;;;I3;;;;
263;FGA0204 - DINÂMICA DOS FLUÍDOS;1;2022;2;LUCIANO GONCALVES NOLETO;60h;26M34 4M3;25;23;FGA - SALA S8 /LAB TERMOFLUIDOS / SALA I3;;;S8;;;;
264;FGA0204 - DINÂMICA DOS FLUÍDOS;1;2022;2;LUCIANO GONCALVES NOLETO;60h;26M34 4M3;25;23;FGA - SALA S8 /LAB TERMOFLUIDOS / SALA I3;;;Lab.Termoflui.;;;;
265;FGA0204 - DINÂMICA DOS FLUÍDOS;1;2022;2;LUCIANO GONCALVES NOLETO;60h;26M34 4M3;25;23;FGA - SALA S8 /LAB TERMOFLUIDOS / SALA I3;;;I3;;;;
266;FGA0204 - DINÂMICA DOS FLUÍDOS;2;2022;2;AUGUSTO CESAR DE MENDONCA BRASIL;15h;26M34 4M4;20;17;FGA - SALA S8 / LAB TERMOFLUIDOS/ SALA I3;;;S8;;;;
267;FGA0204 - DINÂMICA DOS FLUÍDOS;2;2022;2;AUGUSTO CESAR DE MENDONCA BRASIL;15h;26M34 4M4;20;17;FGA - SALA S8 / LAB TERMOFLUIDOS/ SALA I3;;;Lab.Termoflui.;;;;
268;FGA0204 - DINÂMICA DOS FLUÍDOS;2;2022;2;AUGUSTO CESAR DE MENDONCA BRASIL;15h;26M34 4M4;20;17;FGA - SALA S8 / LAB TERMOFLUIDOS/ SALA I3;;;I3;;;;
269;FGA0204 - DINÂMICA DOS FLUÍDOS;2;2022;2;LUCIANO GONCALVES NOLETO;60h;26M34 4M4;20;17;FGA - SALA S8 / LAB TERMOFLUIDOS/ SALA I3;;;S8;;;;
270;FGA0204 - DINÂMICA DOS FLUÍDOS;2;2022;2;LUCIANO GONCALVES NOLETO;60h;26M34 4M4;20;17;FGA - SALA S8 / LAB TERMOFLUIDOS/ SALA I3;;;Lab.Termoflui.;;;;
271;FGA0204 - DINÂMICA DOS FLUÍDOS;2;2022;2;LUCIANO GONCALVES NOLETO;60h;26M34 4M4;20;17;FGA - SALA S8 / LAB TERMOFLUIDOS/ SALA I3;;;I3;;;;
272;FGA0206 - ENGENHARIA DE PRODUTO DE SOFTWARE;1;2022;2;HILMER RODRIGUES NERI;60h;35T23;46;45;FGA - SALA I8;;;I8;;;;
273;FGA0208 - ARQUITETURA E DESENHO DE SOFTWARE;1;2022;2;MILENE SERRANO;60h;26M12;60;55;FGA - SALA MOCAP;;;Mocap;;;;
274;FGA0210 - PARADIGMAS DE PROGRAMAÇÃO;1;2022;2;MILENE SERRANO;60h;26M34;41;40;FGA - SALA I6;;;I6;;;;
275;FGA0211 - FUNDAMENTOS DE REDES DE COMPUTADORES;1;2022;2;FERNANDO WILLIAM CRUZ;60h;24T45;42;38;FGA - SALA I7 E I8;;;I7;;;;
276;FGA0211 - FUNDAMENTOS DE REDES DE COMPUTADORES;1;2022;2;FERNANDO WILLIAM CRUZ;60h;24T45;42;38;FGA - SALA I7 E I8;;;I8;;;;
277;FGA0214 - TÓPICOS ESPECIAIS EM ENGENHARIA AUTOMOTIVA;1;2022;2;FABIO CORDEIRO DE LISBOA;60h;2T2345;20;16;FGA - SALA I4 (Manutenção Automotiva);;;I4;;;;
